Ligand,ordem,Affinity_mean,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
2iodo-4tetrahydroacridindecoy26,38,"-62,3",0,1,37,1,"0,049","0,063",,"0,026","1,2845","0,049",,
4iodo-4tetrahydroacridindecoy26,39,"-62,2",0,1,38,1,"0,050","0,063",,"0,026","1,2516","0,050",,
Bis-tacrinedecoy44,40,"-62,1",0,1,39,1,"0,051","0,063",,"0,025","1,2203","0,051",,
2iodo-3tetrahydroacridindecoy29,41,"-61,7",0,1,40,1,"0,052","0,063",,"0,024","1,1905","0,052",,
4iodo-2tetrahydroacridindecoy13,42,"-61,7",0,1,41,1,"0,054","0,063",,"0,024","1,1622","0,054",,
4iodo-4tetrahydroacridindecoy15,43,"-61,6",0,1,42,1,"0,055","0,063",,"0,023","1,1351","0,055",,
4iodo-3tetrahydroacridindecoy50,44,"-61,5",0,1,43,1,"0,056","0,063",,"0,023","1,1094","0,056",,
Bis-tacrinedecoy11,45,"-61,4",0,1,44,1,"0,058","0,063",,"0,022","1,0847","0,058",,
Bis-tacrinedecoy7,46,"-61,3",0,1,45,1,"0,059","0,063",,"0,022","1,0611","0,059",,
Bis-tacrinedecoy19,47,"-61,2",0,1,46,1,"0,060","0,063",,"0,021","1,0385","0,060",,
2iodo-3tetrahydroacridindecoy16,48,"-61,0",0,1,47,1,"0,061","0,063",,"0,021","1,0169","0,061",,
Donepezildecoy11,49,"-60,8",0,1,48,1,"0,063","0,063",,"0,020","0,9962","0,063",,
4iodo-3tetrahydroacridindecoy28,50,"-60,6",0,1,49,1,"0,064","0,063",,"0,020","0,9762","0,064",,
Bis-tacrinedecoy45,51,"-60,6",0,1,50,1,"0,065","0,063",,"0,020","0,9571","0,065",,
2iodo-3tetrahydroacridindecoy47,52,"-60,2",0,1,51,1,"0,067","0,063",,"0,019","0,9387","0,067",,
