Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
Bis-tacrinedecoy33,105,"-10,3",0,1,99,6,"0,1344","0,375",,"0,057","2,7892","0,1344",,
2iodo-2tetrahydroacridindecoy37,106,"-10,3",0,1,100,6,"0,1357","0,375",,"0,057","2,7629","0,1357",,
4iodo-2tetrahydroacridin,107,"-10,3",1,0,100,7,"0,1370","0,438",,"0,065","3,1933","0,1370",,
Heptyl-physostigminedecoy16,108,"-10,3",0,1,101,7,"0,1383","0,438",,"0,065","3,1637","0,1383",,
Bis-tacrinedecoy34,109,"-10,2",0,1,102,7,"0,1396","0,438",,"0,064","3,1347","0,1396",,
4iodo-3tetrahydroacridindecoy12,110,"-10,2",0,1,103,7,"0,1408","0,438",,"0,064","3,1062","0,1408",,
4iodo-4tetrahydroacridindecoy46,111,"-10,2",0,1,104,7,"0,1421","0,438",,"0,063","3,0782","0,1421",,
Heptyl-physostigminedecoy42,112,"-10,2",0,1,105,7,"0,1434","0,438",,"0,063","3,0507","0,1434",,
2iodo-2tetrahydroacridindecoy8,113,"-10,2",0,1,106,7,"0,1447","0,438",,"0,062","3,0237","0,1447",,
4iodo-3tetrahydroacridindecoy41,114,"-10,2",0,1,107,7,"0,1460","0,438",,"0,061","2,9972","0,1460",,
Tolserinedecoy49,115,"-10,2",0,1,108,7,"0,1472","0,438",,"0,061","2,9711","0,1472",,
Heptyl-physostigminedecoy5,116,"-10,2",0,1,109,7,"0,1485","0,438",,"0,060","2,9455","0,1485",,
3iodo-2tetrahydroacridindecoy26,117,"-10,2",0,1,110,7,"0,1498","0,438",,"0,060","2,9203","0,1498",,
2iodo-3tetrahydroacridindecoy28,118,"-10,2",0,1,111,7,"0,1511","0,438",,"0,059","2,8956","0,1511",,
2iodo-2tetrahydroacridindecoy13,119,"-10,2",0,1,112,7,"0,1524","0,438",,"0,059","2,8713","0,1524",,
Donepezildecoy31,120,"-10,1",0,1,113,7,"0,1536","0,438",,"0,058","2,8473","0,1536",,
3iodo-4tetrahydroacridindecoy10,121,"-10,1",0,1,114,7,"0,1549","0,438",,"0,058","2,8238","0,1549",,
4iodo-3tetrahydroacridindecoy9,122,"-10,1",0,1,115,7,"0,1562","0,438",,"0,057","2,8007","0,1562",,
2iodo-3tetrahydroacridindecoy21,123,"-10,1",0,1,116,7,"0,1575","0,438",,"0,057","2,7779","0,1575",,
Heptyl-physostigminedecoy39,124,"-10,1",0,1,117,7,"0,1588","0,438",,"0,056","2,7555","0,1588",,
3iodo-2tetrahydroacridin,125,"-10,1",1,0,117,8,"0,1601","0,500",,"0,064","3,1239","0,1601",,
Heptyl-physostigminedecoy9,126,"-10,0",0,1,118,8,"0,1613","0,500",,"0,063","3,0991","0,1613",,
Heptyl-physostigmine,127,"-10,0",1,0,118,9,"0,1626","0,563",,"0,071","3,4591","0,1626",,
3iodo-2tetrahydroacridindecoy21,128,"-10,0",0,1,119,9,"0,1639","0,563",,"0,070","3,4321","0,1639",,
2iodo-2tetrahydroacridindecoy34,129,"-10,0",0,1,120,9,"0,1652","0,563",,"0,070","3,4054","0,1652",,
3iodo-2tetrahydroacridindecoy45,130,"-10,0",0,1,121,9,"0,1665","0,563",,"0,069","3,3793","0,1665",,
4iodo-2tetrahydroacridindecoy37,131,"-10,0",0,1,122,9,"0,1677","0,563",,"0,069","3,3535","0,1677",,
Donepezildecoy1,132,"-10,0",0,1,123,9,"0,1690","0,563",,"0,068","3,3281","0,1690",,
Heptyl-physostigminedecoy18,133,"-10,0",0,1,124,9,"0,1703","0,563",,"0,068","3,3030","0,1703",,
Heptyl-physostigminedecoy41,134,"-10,0",0,1,125,9,"0,1716","0,563",,"0,067","3,2784","0,1716",,
Bis-tacrinedecoy30,135,"-10,0",0,1,126,9,"0,1729","0,563",,"0,067","3,2541","0,1729",,
2iodo-3tetrahydroacridindecoy44,136,"-9,9",0,1,127,9,"0,1741","0,563",,"0,066","3,2302","0,1741",,
4iodo-4tetrahydroacridindecoy16,137,"-9,9",0,1,128,9,"0,1754","0,563",,"0,066","3,2066","0,1754",,
4iodo-2tetrahydroacridindecoy4,138,"-9,9",0,1,129,9,"0,1767","0,563",,"0,065","3,1834","0,1767",,
4iodo-4tetrahydroacridindecoy43,139,"-9,9",0,1,130,9,"0,1780","0,563",,"0,065","3,1605","0,1780",,
3iodo-2tetrahydroacridindecoy37,140,"-9,9",0,1,131,9,"0,1793","0,563",,"0,064","3,1379","0,1793",,
Heptyl-physostigminedecoy3,141,"-9,9",0,1,132,9,"0,1805","0,563",,"0,064","3,1156","0,1805",,
4iodo-2tetrahydroacridindecoy42,142,"-9,9",0,1,133,9,"0,1818","0,563",,"0,063","3,0937","0,1818",,
3iodo-4tetrahydroacridindecoy8,143,"-9,9",0,1,134,9,"0,1831","0,563",,"0,063","3,0720","0,1831",,
Heptyl-physostigminedecoy29,144,"-9,9",0,1,135,9,"0,1844","0,563",,"0,063","3,0507","0,1844",,
