Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
4iodo-4tetrahydroacridindecoy14,41,"-63,5",0,1,40,1,"0,0525","0,0625",,"0,024","1,1905","0,0525",,
Bis-tacrinedecoy26,42,"-63,3",0,1,41,1,"0,0538","0,0625",,"0,024","1,1622","0,0538",,
4iodo-4tetrahydroacridindecoy26,43,"-63,1",0,1,42,1,"0,0551","0,0625",,"0,023","1,1351","0,0551",,
4iodo-3tetrahydroacridindecoy28,44,"-62,9",0,1,43,1,"0,0563","0,0625",,"0,023","1,1094","0,0563",,
4iodo-4tetrahydroacridindecoy15,45,"-62,8",0,1,44,1,"0,0576","0,0625",,"0,022","1,0847","0,0576",,
Bis-tacrinedecoy7,46,"-62,6",0,1,45,1,"0,0589","0,0625",,"0,022","1,0611","0,0589",,
2iodo-3tetrahydroacridindecoy16,47,"-62,6",0,1,46,1,"0,0602","0,0625",,"0,021","1,0385","0,0602",,
4iodo-2tetrahydroacridindecoy13,48,"-62,5",0,1,47,1,"0,0615","0,0625",,"0,021","1,0169","0,0615",,
Bis-tacrinedecoy15,49,"-62,2",0,1,48,1,"0,0627","0,0625",,"0,020","0,9962","0,0627",,
Bis-tacrinedecoy19,50,"-62,2",0,1,49,1,"0,0640","0,0625",,"0,020","0,9762","0,0640",,
Bis-tacrinedecoy37,51,"-62,2",0,1,50,1,"0,0653","0,0625",,"0,020","0,9571","0,0653",,
Donepezildecoy11,52,"-62,0",0,1,51,1,"0,0666","0,0625",,"0,019","0,9387","0,0666",,
Bis-tacrinedecoy49,53,"-61,9",0,1,52,1,"0,0679","0,0625",,"0,019","0,9210","0,0679",,
2iodo-3tetrahydroacridindecoy22,54,"-61,9",0,1,53,1,"0,0691","0,0625",,"0,019","0,9039","0,0691",,
4iodo-2tetrahydroacridindecoy33,55,"-61,8",0,1,54,1,"0,0704","0,0625",,"0,018","0,8875","0,0704",,
4iodo-3tetrahydroacridindecoy37,56,"-61,7",0,1,55,1,"0,0717","0,0625",,"0,018","0,8716","0,0717",,
Bis-tacrinedecoy45,57,"-61,6",0,1,56,1,"0,0730","0,0625",,"0,018","0,8563","0,0730",,
4iodo-4tetrahydroacridindecoy30,58,"-61,5",0,1,57,1,"0,0743","0,0625",,"0,017","0,8416","0,0743",,
2iodo-2tetrahydroacridindecoy39,59,"-61,4",0,1,58,1,"0,0755","0,0625",,"0,017","0,8273","0,0755",,
Bis-tacrinedecoy13,60,"-61,3",0,1,59,1,"0,0768","0,0625",,"0,017","0,8135","0,0768",,
4iodo-3tetrahydroacridindecoy31,61,"-61,2",0,1,60,1,"0,0781","0,0625",,"0,016","0,8002","0,0781",,
Bis-tacrinedecoy5,62,"-61,2",0,1,61,1,"0,0794","0,0625",,"0,016","0,7873","0,0794",,
4iodo-3tetrahydroacridindecoy34,63,"-61,2",0,1,62,1,"0,0807","0,0625",,"0,016","0,7748","0,0807",,
2iodo-3tetrahydroacridindecoy47,64,"-61,1",0,1,63,1,"0,0819","0,0625",,"0,016","0,7627","0,0819",,
Bis-tacrinedecoy33,65,"-61,0",0,1,64,1,"0,0832","0,0625",,"0,015","0,7509","0,0832",,
4iodo-4tetrahydroacridindecoy17,66,"-60,9",0,1,65,1,"0,0845","0,0625",,"0,015","0,7396","0,0845",,
2iodo-4tetrahydroacridindecoy18,67,"-60,8",0,1,66,1,"0,0858","0,0625",,"0,015","0,7285","0,0858",,
