Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
Donepezildecoy29,32,"-10,8",0,1,31,2,"0,041","0,125",,"0,063","3,0507","0,041",,
Tolserinedecoy49,33,"-10,8",0,1,32,2,"0,042","0,125",,"0,061","2,9583","0,042",,
4iodo-4tetrahydroacridin,34,"-10,8",1,0,32,3,"0,044","0,188",,"0,088","4,3069","0,044",,
3iodo-4tetrahydroacridin,35,"-10,8",1,0,29,2,"0,045","0,125",,"0,057","2,7892","0,045",,
2iodo-3tetrahydroacridindecoy38,36,"-10,7",0,1,33,3,"0,046","0,188",,"0,083","4,0676","0,046",,
Tolserinedecoy12,37,"-10,7",0,1,34,3,"0,047","0,188",,"0,081","3,9577","0,047",,
3iodo-2tetrahydroacridindecoy20,38,"-10,7",0,1,35,3,"0,049","0,188",,"0,079","3,8535","0,049",,
Heptyl-physostigminedecoy35,39,"-10,7",0,1,36,3,"0,050","0,188",,"0,077","3,7547","0,050",,
4iodo-3tetrahydroacridindecoy13,40,"-10,7",0,1,37,3,"0,051","0,188",,"0,075","3,6609","0,051",,
Tolserinedecoy15,41,"-10,7",0,1,38,3,"0,052","0,188",,"0,073","3,5716","0,052",,
4iodo-4tetrahydroacridindecoy19,42,"-10,6",0,1,39,3,"0,054","0,188",,"0,071","3,4865","0,054",,
4iodo-2tetrahydroacridindecoy25,43,"-10,6",0,1,40,5,"0,055","0,313",,"0,116","5,6757","0,055",,
4iodo-2tetrahydroacridindecoy37,44,"-10,6",0,1,41,5,"0,056","0,313",,"0,114","5,5468","0,056",,
Heptyl-physostigminedecoy15,45,"-10,6",0,1,42,5,"0,058","0,313",,"0,111","5,4235","0,058",,
3iodo-2tetrahydroacridin,46,"-10,6",1,0,39,4,"0,059","0,250",,"0,087","4,2445","0,059",,
