Ligand,ordem,Affinity_mean,Positivos,Decoys,Tdecoys,Tpositivos,FP,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
3iodo-2tetrahydroacridindecoy30,227,"-9,3",0,1,218,9,,"0,291","0,563",,"0,040","1,9353","0,291",,
Heptyl-physostigminedecoy46,228,"-9,3",0,1,219,9,,"0,292","0,563",,"0,039","1,9268","0,292",,
4iodo-4tetrahydroacridindecoy16,229,"-9,3",0,1,220,9,,"0,293","0,563",,"0,039","1,9184","0,293",,
2iodo-3tetrahydroacridindecoy46,230,"-9,3",0,1,221,9,,"0,294","0,563",,"0,039","1,9100","0,294",,
2iodo-4tetrahydroacridindecoy13,231,"-9,3",0,1,222,9,,"0,296","0,563",,"0,039","1,9017","0,296",,
4iodo-3tetrahydroacridindecoy37,232,"-9,3",0,1,223,9,,"0,297","0,563",,"0,039","1,8935","0,297",,
2iodo-2tetrahydroacridindecoy11,233,"-9,3",0,1,224,9,,"0,298","0,563",,"0,039","1,8854","0,298",,
2iodo-3tetrahydroacridindecoy21,234,"-9,3",0,1,225,9,,"0,300","0,563",,"0,038","1,8774","0,300",,
3iodo-2tetrahydroacridindecoy1,235,"-9,3",0,1,226,9,,"0,301","0,563",,"0,038","1,8694","0,301",,
4iodo-2tetrahydroacridindecoy32,236,"-9,3",0,1,227,9,,"0,302","0,563",,"0,038","1,8615","0,302",,
4iodo-4tetrahydroacridindecoy10,237,"-9,3",0,1,228,9,,"0,303","0,563",,"0,038","1,8536","0,303",,
Tolserinedecoy24,238,"-9,3",0,1,229,9,,"0,305","0,563",,"0,038","1,8458","0,305",,
4iodo-2tetrahydroacridindecoy45,239,"-9,3",0,1,230,9,,"0,306","0,563",,"0,038","1,8381","0,306",,
Heptyl-physostigminedecoy42,240,"-9,3",0,1,231,9,,"0,307","0,563",,"0,038","1,8304","0,307",,
2iodo-4tetrahydroacridindecoy49,241,"-9,3",0,1,232,9,,"0,309","0,563",,"0,037","1,8228","0,309",,
3iodo-2tetrahydroacridindecoy37,242,"-9,2",0,1,233,9,,"0,310","0,563",,"0,037","1,8153","0,310",,
Galantaminedecoy16,243,"-9,2",0,1,234,9,,"0,311","0,563",,"0,037","1,8078","0,311",,
Tolserinedecoy21,244,"-9,2",0,1,235,9,,"0,312","0,563",,"0,037","1,8004","0,312",,
3iodo-2tetrahydroacridindecoy38,245,"-9,2",0,1,236,9,,"0,314","0,563",,"0,037","1,7931","0,314",,
4iodo-4tetrahydroacridindecoy31,246,"-9,2",0,1,237,9,,"0,315","0,563",,"0,037","1,7858","0,315",,
Heptyl-physostigminedecoy2,247,"-9,2",0,1,238,9,,"0,316","0,563",,"0,036","1,7786","0,316",,
2iodo-2tetrahydroacridindecoy43,248,"-9,2",0,1,239,9,,"0,318","0,563",,"0,036","1,7714","0,318",,
Tolserinedecoy12,249,"-9,2",0,1,240,9,,"0,319","0,563",,"0,036","1,7643","0,319",,
3iodo-2tetrahydroacridindecoy6,250,"-9,2",0,1,241,9,,"0,320","0,563",,"0,036","1,7572","0,320",,
3iodo-2tetrahydroacridindecoy9,251,"-9,2",0,1,242,9,,"0,321","0,563",,"0,036","1,7502","0,321",,
4iodo-2tetrahydroacridindecoy34,252,"-9,2",0,1,243,9,,"0,323","0,563",,"0,036","1,7433","0,323",,
2iodo-2tetrahydroacridindecoy31,253,"-9,2",0,1,244,9,,"0,324","0,563",,"0,036","1,7364","0,324",,
4iodo-4tetrahydroacridindecoy28,254,"-9,2",0,1,245,9,,"0,325","0,563",,"0,035","1,7295","0,325",,
Donepezildecoy13,255,"-9,2",0,1,246,9,,"0,327","0,563",,"0,035","1,7228","0,327",,
Tolserinedecoy43,256,"-9,2",0,1,247,9,,"0,328","0,563",,"0,035","1,7160","0,328",,
Heptyl-physostigminedecoy23,257,"-9,2",0,1,248,9,,"0,329","0,563",,"0,035","1,7094","0,329",,
Heptyl-physostigminedecoy18,258,"-9,2",0,1,249,9,,"0,330","0,563",,"0,035","1,7027","0,330",,
Donepezildecoy49,259,"-9,2",0,1,250,9,,"0,332","0,563",,"0,035","1,6962","0,332",,
2iodo-3tetrahydroacridindecoy27,261,"-9,2",0,1,251,9,,"0,334","0,563",,"0,034","1,6832","0,334",,
Donepezil,260,"-9,2",1,0,251,10,,"0,333","0,625",,"0,038","1,8774","0,333",,
4iodo-4tetrahydroacridindecoy7,262,"-9,1",0,1,252,10,,"0,335","0,625",,"0,038","1,8630","0,335",,
Galantaminedecoy44,263,"-9,1",0,1,253,10,,"0,337","0,625",,"0,038","1,8559","0,337",,
Tolserinedecoy27,264,"-9,1",0,1,254,10,,"0,338","0,625",,"0,038","1,8489","0,338",,
4iodo-4tetrahydroacridindecoy5,265,"-9,1",0,1,255,10,,"0,339","0,625",,"0,038","1,8419","0,339",,
Galantaminedecoy32,266,"-9,1",0,1,256,10,,"0,341","0,625",,"0,038","1,8350","0,341",,
2iodo-3tetrahydroacridindecoy24,267,"-9,1",0,1,257,10,,"0,342","0,625",,"0,037","1,8281","0,342",,
4iodo-4tetrahydroacridindecoy21,268,"-9,1",0,1,258,10,,"0,343","0,625",,"0,037","1,8213","0,343",,
4iodo-4tetrahydroacridindecoy46,269,"-9,1",0,1,259,10,,"0,344","0,625",,"0,037","1,8146","0,344",,
Heptyl-physostigminedecoy7,270,"-9,1",0,1,260,10,,"0,346","0,625",,"0,037","1,8078","0,346",,
Heptyl-physostigminedecoy41,271,"-9,1",0,1,261,10,,"0,347","0,625",,"0,037","1,8012","0,347",,
2iodo-4tetrahydroacridindecoy31,272,"-9,1",0,1,262,10,,"0,348","0,625",,"0,037","1,7945","0,348",,
Donepezildecoy3,273,"-9,1",0,1,263,10,,"0,350","0,625",,"0,037","1,7880","0,350",,
4iodo-3tetrahydroacridindecoy40,274,"-9,1",0,1,264,10,,"0,351","0,625",,"0,036","1,7814","0,351",,
2iodo-4tetrahydroacridindecoy44,275,"-9,1",0,1,265,10,,"0,352","0,625",,"0,036","1,7750","0,352",,
3iodo-4tetrahydroacridindecoy46,276,"-9,1",0,1,266,10,,"0,353","0,625",,"0,036","1,7685","0,353",,
Physostigminedecoy31,277,"-9,1",0,1,267,10,,"0,355","0,625",,"0,036","1,7621","0,355",,
4iodo-2tetrahydroacridindecoy46,278,"-9,1",0,1,268,10,,"0,356","0,625",,"0,036","1,7558","0,356",,
4iodo-3tetrahydroacridindecoy42,279,"-9,1",0,1,269,10,,"0,357","0,625",,"0,036","1,7495","0,357",,
Heptyl-physostigminedecoy27,280,"-9,1",0,1,270,10,,"0,359","0,625",,"0,036","1,7433","0,359",,
3iodo-4tetrahydroacridindecoy43,281,"-9,1",0,1,271,10,,"0,360","0,625",,"0,036","1,7371","0,360",,
2iodo-2tetrahydroacridindecoy9,282,"-9,1",0,1,272,10,,"0,361","0,625",,"0,035","1,7309","0,361",,
4iodo-3tetrahydroacridindecoy11,283,"-9,1",0,1,273,10,,"0,362","0,625",,"0,035","1,7248","0,362",,
Galantaminedecoy17,284,"-9,1",0,1,274,10,,"0,364","0,625",,"0,035","1,7187","0,364",,
Bis-tacrinedecoy30,285,"-9,1",0,1,275,10,,"0,365","0,625",,"0,035","1,7127","0,365",,
2iodo-4tetrahydroacridindecoy33,286,"-9,1",0,1,276,10,,"0,366","0,625",,"0,035","1,7067","0,366",,
2iodo-3tetrahydroacridindecoy11,287,"-9,1",0,1,277,10,,"0,367","0,625",,"0,035","1,7007","0,367",,
Donepezildecoy18,288,"-9,1",0,1,278,10,,"0,369","0,625",,"0,035","1,6948","0,369",,
Donepezildecoy28,289,"-9,0",0,1,279,10,,"0,370","0,625",,"0,035","1,6890","0,370",,
Donepezildecoy7,290,"-9,0",0,1,280,10,,"0,371","0,625",,"0,034","1,6832","0,371",,
Tolserinedecoy17,291,"-9,0",0,1,281,10,,"0,373","0,625",,"0,034","1,6774","0,373",,
2iodo-2tetrahydroacridindecoy3,292,"-9,0",0,1,282,10,,"0,374","0,625",,"0,034","1,6716","0,374",,
2iodo-2tetrahydroacridindecoy5,293,"-9,0",0,1,283,10,,"0,375","0,625",,"0,034","1,6659","0,375",,
4iodo-3tetrahydroacridindecoy34,294,"-9,0",0,1,284,10,,"0,376","0,625",,"0,034","1,6603","0,376",,
Physostigminedecoy14,295,"-9,0",0,1,285,10,,"0,378","0,625",,"0,034","1,6546","0,378",,
Tolserinedecoy42,296,"-9,0",0,1,286,10,,"0,379","0,625",,"0,034","1,6490","0,379",,
4iodo-4tetrahydroacridindecoy11,297,"-9,0",0,1,287,10,,"0,380","0,625",,"0,034","1,6435","0,380",,
Donepezildecoy35,298,"-9,0",0,1,288,10,,"0,382","0,625",,"0,034","1,6380","0,382",,
Tolserinedecoy18,299,"-9,0",0,1,289,10,,"0,383","0,625",,"0,033","1,6325","0,383",,
2iodo-2tetrahydroacridindecoy16,300,"-9,0",0,1,290,10,,"0,384","0,625",,"0,033","1,6270","0,384",,
4iodo-3tetrahydroacridindecoy20,301,"-9,0",0,1,291,10,,"0,385","0,625",,"0,033","1,6216","0,385",,
4iodo-2tetrahydroacridindecoy36,302,"-9,0",0,1,292,10,,"0,387","0,625",,"0,033","1,6163","0,387",,
2iodo-3tetrahydroacridindecoy26,303,"-9,0",0,1,293,10,,"0,388","0,625",,"0,033","1,6109","0,388",,
Heptyl-physostigminedecoy10,304,"-9,0",0,1,294,10,,"0,389","0,625",,"0,033","1,6056","0,389",,
Physostigminedecoy1,305,"-9,0",0,1,295,10,,"0,391","0,625",,"0,033","1,6004","0,391",,
Tolserinedecoy45,306,"-9,0",0,1,296,10,,"0,392","0,625",,"0,033","1,5951","0,392",,
2iodo-2tetrahydroacridindecoy41,307,"-9,0",0,1,297,10,,"0,393","0,625",,"0,033","1,5899","0,393",,
Heptyl-physostigminedecoy43,308,"-9,0",0,1,298,10,,"0,394","0,625",,"0,032","1,5848","0,394",,
Heptyl-physostigminedecoy38,309,"-9,0",0,1,299,10,,"0,396","0,625",,"0,032","1,5797","0,396",,
2iodo-4tetrahydroacridindecoy7,310,"-8,9",0,1,300,10,,"0,397","0,625",,"0,032","1,5746","0,397",,
Heptyl-physostigminedecoy4,311,"-8,9",0,1,301,10,,"0,398","0,625",,"0,032","1,5695","0,398",,
4iodo-2tetrahydroacridindecoy3,312,"-8,9",0,1,302,10,,"0,399","0,625",,"0,032","1,5645","0,399",,
3iodo-2tetrahydroacridindecoy3,313,"-8,9",0,1,303,10,,"0,401","0,625",,"0,032","1,5595","0,401",,
3iodo-2tetrahydroacridindecoy41,314,"-8,9",0,1,304,10,,"0,402","0,625",,"0,032","1,5545","0,402",,
2iodo-3tetrahydroacridindecoy3,315,"-8,9",0,1,305,10,,"0,403","0,625",,"0,032","1,5496","0,403",,
2iodo-4tetrahydroacridindecoy42,316,"-8,9",0,1,306,10,,"0,405","0,625",,"0,032","1,5447","0,405",,
2iodo-4tetrahydroacridindecoy34,317,"-8,9",0,1,307,10,,"0,406","0,625",,"0,032","1,5398","0,406",,
4iodo-4tetrahydroacridindecoy40,318,"-8,9",0,1,308,10,,"0,407","0,625",,"0,031","1,5350","0,407",,
Tolserinedecoy8,319,"-8,9",0,1,309,10,,"0,408","0,625",,"0,031","1,5301","0,408",,
4iodo-3tetrahydroacridindecoy9,320,"-8,9",0,1,310,10,,"0,410","0,625",,"0,031","1,5254","0,410",,
3iodo-4tetrahydroacridindecoy44,321,"-8,9",0,1,311,10,,"0,411","0,625",,"0,031","1,5206","0,411",,
4iodo-3tetrahydroacridindecoy21,322,"-8,9",0,1,312,10,,"0,412","0,625",,"0,031","1,5159","0,412",,
4iodo-3tetrahydroacridindecoy26,323,"-8,9",0,1,313,10,,"0,414","0,625",,"0,031","1,5112","0,414",,
2iodo-3tetrahydroacridindecoy18,325,"-8,9",0,1,314,10,,"0,416","0,625",,"0,031","1,5019","0,416",,
Heptyl-physostigminedecoy29,326,"-8,9",0,1,315,10,,"0,417","0,625",,"0,031","1,4973","0,417",,
3iodo-2tetrahydroacridindecoy8,327,"-8,9",0,1,316,10,,"0,419","0,625",,"0,031","1,4927","0,419",,
4iodo-3tetrahydroacridindecoy1,328,"-8,9",0,1,317,10,,"0,420","0,625",,"0,030","1,4882","0,420",,
2iodo-2tetrahydroacridindecoy33,329,"-8,9",0,1,318,10,,"0,421","0,625",,"0,030","1,4836","0,421",,
Tolserinedecoy10,330,"-8,9",0,1,319,10,,"0,423","0,625",,"0,030","1,4791","0,423",,
Galantamine,324,"-8,9",1,0,319,11,,"0,415","0,688",,"0,034","1,6572","0,415",,
Donepezildecoy41,331,"-8,8",0,1,320,11,,"0,424","0,688",,"0,033","1,6221","0,424",,
2iodo-2tetrahydroacridindecoy35,332,"-8,8",0,1,321,11,,"0,425","0,688",,"0,033","1,6172","0,425",,
3iodo-2tetrahydroacridindecoy34,333,"-8,8",0,1,322,11,,"0,426","0,688",,"0,033","1,6124","0,426",,
3iodo-4tetrahydroacridindecoy42,334,"-8,8",0,1,323,11,,"0,428","0,688",,"0,033","1,6076","0,428",,
Donepezildecoy46,335,"-8,8",0,1,324,11,,"0,429","0,688",,"0,033","1,6028","0,429",,
Physostigminedecoy34,336,"-8,8",0,1,325,11,,"0,430","0,688",,"0,033","1,5980","0,430",,
Bis-tacrinedecoy24,337,"-8,8",0,1,326,11,,"0,431","0,688",,"0,033","1,5933","0,431",,
4iodo-3tetrahydroacridindecoy12,338,"-8,8",0,1,327,11,,"0,433","0,688",,"0,033","1,5885","0,433",,
Tolserinedecoy2,339,"-8,8",0,1,328,11,,"0,434","0,688",,"0,032","1,5839","0,434",,
2iodo-4tetrahydroacridindecoy3,340,"-8,8",0,1,329,11,,"0,435","0,688",,"0,032","1,5792","0,435",,
4iodo-2tetrahydroacridindecoy8,341,"-8,8",0,1,330,11,,"0,437","0,688",,"0,032","1,5746","0,437",,
4iodo-3tetrahydroacridindecoy44,342,"-8,8",0,1,331,11,,"0,438","0,688",,"0,032","1,5700","0,438",,
Donepezildecoy32,343,"-8,8",0,1,332,11,,"0,439","0,688",,"0,032","1,5654","0,439",,
2iodo-2tetrahydroacridindecoy14,344,"-8,8",0,1,333,11,,"0,440","0,688",,"0,032","1,5608","0,440",,
2iodo-2tetrahydroacridindecoy40,345,"-8,8",0,1,334,11,,"0,442","0,688",,"0,032","1,5563","0,442",,
2iodo-2tetrahydroacridindecoy6,346,"-8,8",0,1,335,11,,"0,443","0,688",,"0,032","1,5518","0,443",,
Donepezildecoy30,347,"-8,8",0,1,336,11,,"0,444","0,688",,"0,032","1,5473","0,444",,
Donepezildecoy44,348,"-8,8",0,1,337,11,,"0,446","0,688",,"0,032","1,5429","0,446",,
Physostigminedecoy24,349,"-8,8",0,1,338,11,,"0,447","0,688",,"0,032","1,5385","0,447",,
2iodo-3tetrahydroacridindecoy35,350,"-8,8",0,1,339,11,,"0,448","0,688",,"0,031","1,5341","0,448",,
2iodo-3tetrahydroacridindecoy6,351,"-8,8",0,1,340,11,,"0,449","0,688",,"0,031","1,5297","0,449",,
2iodo-4tetrahydroacridindecoy35,352,"-8,8",0,1,341,11,,"0,451","0,688",,"0,031","1,5254","0,451",,
2iodo-2tetrahydroacridindecoy29,354,"-8,8",0,1,342,11,,"0,453","0,688",,"0,031","1,5167","0,453",,
Bis-tacrinedecoy11,355,"-8,8",0,1,343,11,,"0,455","0,688",,"0,031","1,5125","0,455",,
Donepezildecoy12,356,"-8,8",0,1,344,11,,"0,456","0,688",,"0,031","1,5082","0,456",,
Heptyl-physostigmine,353,"-8,8",1,0,344,12,,"0,452","0,750",,"0,034","1,6593","0,452",,
2iodo-3tetrahydroacridindecoy13,357,"-8,7",0,1,345,12,,"0,457","0,750",,"0,034","1,6407","0,457",,
4iodo-3tetrahydroacridindecoy2,358,"-8,7",0,1,346,12,,"0,458","0,750",,"0,034","1,6361","0,458",,
4iodo-3tetrahydroacridindecoy23,359,"-8,7",0,1,347,12,,"0,460","0,750",,"0,033","1,6316","0,460",,
2iodo-2tetrahydroacridindecoy17,360,"-8,7",0,1,348,12,,"0,461","0,750",,"0,033","1,6270","0,461",,
2iodo-3tetrahydroacridindecoy33,361,"-8,7",0,1,349,12,,"0,462","0,750",,"0,033","1,6225","0,462",,
Donepezildecoy2,362,"-8,7",0,1,350,12,,"0,464","0,750",,"0,033","1,6181","0,464",,
2iodo-4tetrahydroacridindecoy48,363,"-8,7",0,1,351,12,,"0,465","0,750",,"0,033","1,6136","0,465",,
Bis-tacrinedecoy13,364,"-8,7",0,1,352,12,,"0,466","0,750",,"0,033","1,6092","0,466",,
Bis-tacrinedecoy23,365,"-8,7",0,1,353,12,,"0,467","0,750",,"0,033","1,6048","0,467",,
Bis-tacrinedecoy36,366,"-8,7",0,1,354,12,,"0,469","0,750",,"0,033","1,6004","0,469",,
Physostigminedecoy19,367,"-8,7",0,1,355,12,,"0,470","0,750",,"0,033","1,5960","0,470",,
Tacrinedecoy3,368,"-8,7",0,1,356,12,,"0,471","0,750",,"0,033","1,5917","0,471",,
4iodo-4tetrahydroacridindecoy2,370,"-8,7",0,1,357,12,,"0,474","0,750",,"0,032","1,5831","0,474",,
4iodo-3tetrahydroacridindecoy4,371,"-8,7",0,1,358,12,,"0,475","0,750",,"0,032","1,5788","0,475",,
4iodo-4tetrahydroacridindecoy12,372,"-8,7",0,1,359,12,,"0,476","0,750",,"0,032","1,5746","0,476",,
4iodo-4tetrahydroacridindecoy1,373,"-8,7",0,1,360,12,,"0,478","0,750",,"0,032","1,5703","0,478",,
Heptyl-physostigminedecoy49,374,"-8,7",0,1,361,12,,"0,479","0,750",,"0,032","1,5661","0,479",,
Tolserinedecoy4,375,"-8,7",0,1,362,12,,"0,480","0,750",,"0,032","1,5620","0,480",,
2iodo-2tetrahydroacridindecoy18,376,"-8,7",0,1,363,12,,"0,481","0,750",,"0,032","1,5578","0,481",,
Bis-tacrinedecoy42,377,"-8,7",0,1,364,12,,"0,483","0,750",,"0,032","1,5537","0,483",,
4iodo-3tetrahydroacridindecoy38,378,"-8,7",0,1,365,12,,"0,484","0,750",,"0,032","1,5496","0,484",,
4iodo-4tetrahydroacridindecoy41,379,"-8,7",0,1,366,12,,"0,485","0,750",,"0,032","1,5455","0,485",,
2iodo-4tetrahydroacridindecoy9,380,"-8,7",0,1,367,12,,"0,487","0,750",,"0,032","1,5414","0,487",,
Bis-tacrinedecoy35,381,"-8,7",0,1,368,12,,"0,488","0,750",,"0,031","1,5374","0,488",,
3iodo-2tetrahydroacridindecoy14,382,"-8,7",0,1,369,12,,"0,489","0,750",,"0,031","1,5333","0,489",,
Donepezildecoy24,383,"-8,7",0,1,370,12,,"0,490","0,750",,"0,031","1,5293","0,490",,
Tolserine,369,"-8,7",1,0,370,13,,"0,472","0,813",,"0,035","1,7196","0,472",,
Galantaminedecoy18,384,"-8,6",0,1,371,13,,"0,492","0,813",,"0,034","1,6525","0,492",,
4iodo-3tetrahydroacridindecoy48,385,"-8,6",0,1,372,13,,"0,493","0,813",,"0,034","1,6482","0,493",,
Bis-tacrinedecoy38,386,"-8,6",0,1,373,13,,"0,494","0,813",,"0,034","1,6439","0,494",,
4iodo-4tetrahydroacridindecoy42,387,"-8,6",0,1,374,13,,"0,496","0,813",,"0,034","1,6397","0,496",,
2iodo-3tetrahydroacridindecoy37,388,"-8,6",0,1,375,13,,"0,497","0,813",,"0,034","1,6354","0,497",,
Physostigminedecoy22,389,"-8,6",0,1,376,13,,"0,498","0,813",,"0,033","1,6312","0,498",,
Donepezildecoy34,390,"-8,6",0,1,377,13,,"0,499","0,813",,"0,033","1,6270","0,499",,
2iodo-3tetrahydroacridindecoy15,391,"-8,6",0,1,378,13,,"0,501","0,813",,"0,033","1,6229","0,501",,
3iodo-2tetrahydroacridindecoy7,392,"-8,6",0,1,379,13,,"0,502","0,813",,"0,033","1,6187","0,502",,
Donepezildecoy45,393,"-8,6",0,1,380,13,,"0,503","0,813",,"0,033","1,6146","0,503",,
3iodo-4tetrahydroacridindecoy17,394,"-8,6",0,1,381,13,,"0,504","0,813",,"0,033","1,6105","0,504",,
4iodo-2tetrahydroacridindecoy30,395,"-8,6",0,1,382,13,,"0,506","0,813",,"0,033","1,6065","0,506",,
Heptyl-physostigminedecoy31,396,"-8,6",0,1,383,13,,"0,507","0,813",,"0,033","1,6024","0,507",,
Physostigminedecoy10,397,"-8,6",0,1,384,13,,"0,508","0,813",,"0,033","1,5984","0,508",,
2iodo-3tetrahydroacridindecoy1,398,"-8,6",0,1,385,13,,"0,510","0,813",,"0,033","1,5943","0,510",,
Physostigminedecoy49,399,"-8,6",0,1,386,13,,"0,511","0,813",,"0,033","1,5903","0,511",,
2iodo-4tetrahydroacridindecoy4,400,"-8,6",0,1,387,13,,"0,512","0,813",,"0,033","1,5864","0,512",,
4iodo-3tetrahydroacridindecoy25,401,"-8,6",0,1,388,13,,"0,513","0,813",,"0,032","1,5824","0,513",,
3iodo-2tetrahydroacridindecoy11,402,"-8,6",0,1,389,13,,"0,515","0,813",,"0,032","1,5785","0,515",,
Donepezildecoy22,403,"-8,6",0,1,390,13,,"0,516","0,813",,"0,032","1,5746","0,516",,
Donepezildecoy8,404,"-8,6",0,1,391,13,,"0,517","0,813",,"0,032","1,5707","0,517",,
Donepezildecoy26,405,"-8,6",0,1,392,13,,"0,519","0,813",,"0,032","1,5668","0,519",,
3iodo-2tetrahydroacridindecoy32,406,"-8,6",0,1,393,13,,"0,520","0,813",,"0,032","1,5629","0,520",,
4iodo-2tetrahydroacridindecoy26,407,"-8,5",0,1,394,13,,"0,521","0,813",,"0,032","1,5591","0,521",,
Bis-tacrinedecoy22,408,"-8,5",0,1,395,13,,"0,522","0,813",,"0,032","1,5553","0,522",,
Donepezildecoy37,409,"-8,5",0,1,396,13,,"0,524","0,813",,"0,032","1,5515","0,524",,
Physostigminedecoy50,410,"-8,5",0,1,397,13,,"0,525","0,813",,"0,032","1,5477","0,525",,
4iodo-2tetrahydroacridindecoy16,411,"-8,5",0,1,398,13,,"0,526","0,813",,"0,032","1,5439","0,526",,
4iodo-3tetrahydroacridindecoy3,412,"-8,5",0,1,399,13,,"0,528","0,813",,"0,032","1,5402","0,528",,
Galantaminedecoy50,413,"-8,5",0,1,400,13,,"0,529","0,813",,"0,031","1,5364","0,529",,
Donepezildecoy33,414,"-8,5",0,1,401,13,,"0,530","0,813",,"0,031","1,5327","0,530",,
2iodo-4tetrahydroacridindecoy27,415,"-8,5",0,1,402,13,,"0,531","0,813",,"0,031","1,5290","0,531",,
Donepezildecoy9,416,"-8,5",0,1,403,13,,"0,533","0,813",,"0,031","1,5254","0,533",,
Tolserinedecoy37,417,"-8,5",0,1,404,13,,"0,534","0,813",,"0,031","1,5217","0,534",,
4iodo-4tetrahydroacridindecoy29,418,"-8,5",0,1,405,13,,"0,535","0,813",,"0,031","1,5181","0,535",,
Physostigminedecoy4,419,"-8,5",0,1,406,13,,"0,536","0,813",,"0,031","1,5144","0,536",,
3iodo-2tetrahydroacridindecoy15,420,"-8,5",0,1,407,13,,"0,538","0,813",,"0,031","1,5108","0,538",,
Bis-tacrinedecoy26,421,"-8,5",0,1,408,13,,"0,539","0,813",,"0,031","1,5072","0,539",,
Heptyl-physostigminedecoy21,422,"-8,5",0,1,409,13,,"0,540","0,813",,"0,031","1,5037","0,540",,
Tolserinedecoy35,423,"-8,5",0,1,410,13,,"0,542","0,813",,"0,031","1,5001","0,542",,
Donepezildecoy15,424,"-8,5",0,1,411,13,,"0,543","0,813",,"0,031","1,4966","0,543",,
2iodo-4tetrahydroacridindecoy2,425,"-8,5",0,1,412,13,,"0,544","0,813",,"0,031","1,4931","0,544",,
Physostigminedecoy44,426,"-8,5",0,1,413,13,,"0,545","0,813",,"0,031","1,4896","0,545",,
4iodo-2tetrahydroacridindecoy7,428,"-8,5",0,1,414,13,,"0,548","0,813",,"0,030","1,4826","0,548",,
Bis-tacrinedecoy4,429,"-8,5",0,1,415,13,,"0,549","0,813",,"0,030","1,4791","0,549",,
4iodo-4tetrahydroacridindecoy34,430,"-8,5",0,1,416,13,,"0,551","0,813",,"0,030","1,4757","0,551",,
Velnacrine,427,"-8,5",1,0,416,14,,"0,547","0,875",,"0,033","1,6004","0,547",,
4iodo-3tetrahydroacridindecoy24,431,"-8,4",0,1,417,14,,"0,552","0,875",,"0,032","1,5855","0,552",,
Donepezildecoy39,432,"-8,4",0,1,418,14,,"0,553","0,875",,"0,032","1,5819","0,553",,
2iodo-2tetrahydroacridindecoy15,433,"-8,4",0,1,419,14,,"0,554","0,875",,"0,032","1,5782","0,554",,
Donepezildecoy20,434,"-8,4",0,1,420,14,,"0,556","0,875",,"0,032","1,5746","0,556",,
Tacrinedecoy43,435,"-8,4",0,1,421,14,,"0,557","0,875",,"0,032","1,5709","0,557",,
2iodo-4tetrahydroacridindecoy8,438,"-8,4",0,1,422,14,,"0,561","0,875",,"0,032","1,5602","0,561",,
Donepezildecoy25,439,"-8,4",0,1,423,14,,"0,562","0,875",,"0,032","1,5566","0,562",,
3iodo-4tetrahydroacridindecoy11,440,"-8,4",0,1,424,14,,"0,563","0,875",,"0,032","1,5531","0,563",,
Tolserinedecoy29,441,"-8,4",0,1,425,14,,"0,565","0,875",,"0,032","1,5496","0,565",,
3iodo-2tetrahydroacridindecoy10,442,"-8,4",0,1,426,14,,"0,566","0,875",,"0,032","1,5461","0,566",,
3iodo-2tetrahydroacridindecoy42,443,"-8,4",0,1,427,14,,"0,567","0,875",,"0,032","1,5426","0,567",,
2iodo-3tetrahydroacridindecoy31,444,"-8,4",0,1,428,14,,"0,569","0,875",,"0,032","1,5391","0,569",,
2iodo-4tetrahydroacridindecoy37,445,"-8,4",0,1,429,14,,"0,570","0,875",,"0,031","1,5356","0,570",,
2iodo-4tetrahydroacridindecoy5,446,"-8,4",0,1,430,14,,"0,571","0,875",,"0,031","1,5322","0,571",,
4iodo-4tetrahydroacridindecoy22,447,"-8,4",0,1,431,14,,"0,572","0,875",,"0,031","1,5288","0,572",,
4iodo-4tetrahydroacridindecoy24,448,"-8,4",0,1,432,14,,"0,574","0,875",,"0,031","1,5254","0,574",,
3iodo-4tetrahydroacridindecoy5,449,"-8,4",0,1,433,14,,"0,575","0,875",,"0,031","1,5220","0,575",,
Bis-tacrinedecoy39,450,"-8,4",0,1,434,14,,"0,576","0,875",,"0,031","1,5186","0,576",,
Bis-tacrinedecoy5,451,"-8,4",0,1,435,14,,"0,577","0,875",,"0,031","1,5152","0,577",,
Heptyl-physostigminedecoy14,452,"-8,4",0,1,436,14,,"0,579","0,875",,"0,031","1,5119","0,579",,
Heptyl-physostigminedecoy39,453,"-8,4",0,1,437,14,,"0,580","0,875",,"0,031","1,5085","0,580",,
4iodo-2tetrahydroacridindecoy14,454,"-8,4",0,1,438,14,,"0,581","0,875",,"0,031","1,5052","0,581",,
Physostigminedecoy15,455,"-8,4",0,1,439,14,,"0,583","0,875",,"0,031","1,5019","0,583",,
4iodo-3tetrahydroacridindecoy30,456,"-8,4",0,1,440,14,,"0,584","0,875",,"0,031","1,4986","0,584",,
Tolserinedecoy28,457,"-8,4",0,1,441,14,,"0,585","0,875",,"0,031","1,4953","0,585",,
Tacrine,436,"-8,4",1,0,441,15,,"0,558","0,938",,"0,034","1,6793","0,558",,
Physostigmine,437,"-8,4",1,0,441,16,,"0,560","1,000",,"0,037","1,7871","0,560",,
Galantaminedecoy20,458,"-8,3",0,1,442,16,,"0,586","1,000",,"0,035","1,7052","0,586",,
2iodo-2tetrahydroacridindecoy7,459,"-8,3",0,1,443,16,,"0,588","1,000",,"0,035","1,7015","0,588",,
Galantaminedecoy9,460,"-8,3",0,1,444,16,,"0,589","1,000",,"0,035","1,6978","0,589",,
