Ligand,ordem,Affinity_mean,Positivos,Decoys,Tdecoys,Tpositivos,FP,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
4iodo-4tetrahydroacridindecoy50,18,"-10,8",0,1,17,1,,"0,023","0,063",,"0,056","2,7117","0,023",,
Bis-tacrinedecoy14,19,"-10,8",0,1,18,1,,"0,024","0,063",,"0,053","2,5690","0,024",,
4iodo-3tetrahydroacridindecoy14,21,"-10,7",0,1,19,1,,"0,027","0,063",,"0,048","2,3244","0,027",,
2iodo-2tetrahydroacridindecoy47,22,"-10,7",0,1,20,1,,"0,028","0,063",,"0,045","2,2187","0,028",,
Heptyl-physostigminedecoy36,23,"-10,7",0,1,21,1,,"0,029","0,063",,"0,043","2,1222","0,029",,
3iodo-4tetrahydroacridin,20,"-10,7",1,0,21,2,,"0,026","0,125",,"0,100","4,8811","0,026",,
4iodo-3tetrahydroacridindecoy41,24,"-10,6",0,1,22,2,,"0,031","0,125",,"0,083","4,0676","0,031",,
2iodo-3tetrahydroacridindecoy19,26,"-10,6",0,1,23,2,,"0,033","0,125",,"0,077","3,7547","0,033",,
Heptyl-physostigminedecoy35,27,"-10,6",0,1,24,2,,"0,035","0,125",,"0,074","3,6157","0,035",,
2iodo-3tetrahydroacridindecoy20,28,"-10,6",0,1,25,2,,"0,036","0,125",,"0,071","3,4865","0,036",,
2iodo-4tetrahydroacridindecoy21,29,"-10,6",0,1,26,2,,"0,037","0,125",,"0,069","3,3663","0,037",,
4iodo-2tetrahydroacridindecoy13,30,"-10,6",0,1,27,2,,"0,038","0,125",,"0,067","3,2541","0,038",,
4iodo-4tetrahydroacridin,25,"-10,6",1,0,27,3,,"0,032","0,188",,"0,120","5,8574","0,032",,
4iodo-3tetrahydroacridindecoy13,31,"-10,5",0,1,28,3,,"0,040","0,188",,"0,097","4,7237","0,040",,
Bis-tacrinedecoy46,32,"-10,5",0,1,29,3,,"0,041","0,188",,"0,094","4,5761","0,041",,
2iodo-2tetrahydroacridindecoy37,33,"-10,5",0,1,30,3,,"0,042","0,188",,"0,091","4,4374","0,042",,
Tolserinedecoy15,34,"-10,4",0,1,31,3,,"0,044","0,188",,"0,088","4,3069","0,044",,
Donepezildecoy29,35,"-10,4",0,1,32,3,,"0,045","0,188",,"0,086","4,1838","0,045",,
3iodo-2tetrahydroacridin,36,"-10,4",1,0,32,4,,"0,046","0,250",,"0,111","5,4235","0,046",,
4iodo-4tetrahydroacridindecoy45,37,"-10,4",0,1,33,4,,"0,047","0,250",,"0,108","5,2769","0,047",,
Donepezildecoy11,39,"-10,4",0,1,34,4,,"0,050","0,250",,"0,103","5,0063","0,050",,
4iodo-4tetrahydroacridindecoy33,40,"-10,4",0,1,35,4,,"0,051","0,250",,"0,100","4,8811","0,051",,
4iodo-2tetrahydroacridin,38,"-10,4",1,0,35,5,,"0,049","0,313",,"0,132","6,4226","0,049",,
4iodo-4tetrahydroacridindecoy14,41,"-10,3",0,1,36,5,,"0,052","0,313",,"0,122","5,9526","0,052",,
4iodo-2tetrahydroacridindecoy10,42,"-10,3",0,1,37,5,,"0,054","0,313",,"0,119","5,8109","0,054",,
4iodo-2tetrahydroacridindecoy25,43,"-10,3",0,1,38,5,,"0,055","0,313",,"0,116","5,6757","0,055",,
Heptyl-physostigminedecoy30,44,"-10,3",0,1,39,5,,"0,056","0,313",,"0,114","5,5468","0,056",,
4iodo-3tetrahydroacridindecoy50,45,"-10,3",0,1,40,5,,"0,058","0,313",,"0,111","5,4235","0,058",,
Heptyl-physostigminedecoy44,46,"-10,3",0,1,41,5,,"0,059","0,313",,"0,109","5,3056","0,059",,
2iodo-4tetrahydroacridindecoy47,47,"-10,3",0,1,42,5,,"0,060","0,313",,"0,106","5,1927","0,060",,
4iodo-4tetrahydroacridindecoy19,48,"-10,3",0,1,43,5,,"0,061","0,313",,"0,104","5,0845","0,061",,
4iodo-3tetrahydroacridin,49,"-10,3",1,0,43,6,,"0,063","0,375",,"0,122","5,9769","0,063",,
Heptyl-physostigminedecoy17,50,"-10,2",0,1,44,6,,"0,064","0,375",,"0,120","5,8574","0,064",,
2iodo-3tetrahydroacridindecoy47,51,"-10,2",0,1,45,6,,"0,065","0,375",,"0,118","5,7425","0,065",,
4iodo-3tetrahydroacridindecoy49,52,"-10,2",0,1,46,6,,"0,067","0,375",,"0,115","5,6321","0,067",,
Heptyl-physostigminedecoy15,53,"-10,2",0,1,47,6,,"0,068","0,375",,"0,113","5,5258","0,068",,
2iodo-4tetrahydroacridindecoy29,54,"-10,2",0,1,48,6,,"0,069","0,375",,"0,111","5,4235","0,069",,
3iodo-2tetrahydroacridindecoy46,55,"-10,2",0,1,49,6,,"0,070","0,375",,"0,109","5,3249","0,070",,
2iodo-2tetrahydroacridindecoy39,56,"-10,2",0,1,50,6,,"0,072","0,375",,"0,107","5,2298","0,072",,
2iodo-4tetrahydroacridindecoy46,57,"-10,2",0,1,51,6,,"0,073","0,375",,"0,105","5,1380","0,073",,
Heptyl-physostigminedecoy16,58,"-10,2",0,1,52,6,,"0,074","0,375",,"0,103","5,0495","0,074",,
2iodo-2tetrahydroacridindecoy34,59,"-10,1",0,1,53,6,,"0,076","0,375",,"0,102","4,9639","0,076",,
Donepezildecoy31,60,"-10,1",0,1,54,6,,"0,077","0,375",,"0,100","4,8811","0,077",,
2iodo-3tetrahydroacridindecoy29,61,"-10,1",0,1,55,6,,"0,078","0,375",,"0,098","4,8011","0,078",,
Heptyl-physostigminedecoy33,63,"-10,1",0,1,56,6,,"0,081","0,375",,"0,095","4,6487","0,081",,
Tolserinedecoy13,64,"-10,1",0,1,57,6,,"0,082","0,375",,"0,094","4,5761","0,082",,
2iodo-4tetrahydroacridindecoy18,65,"-10,1",0,1,58,6,,"0,083","0,375",,"0,092","4,5057","0,083",,
2iodo-3tetrahydroacridindecoy45,66,"-10,1",0,1,59,6,,"0,085","0,375",,"0,091","4,4374","0,085",,
4iodo-3tetrahydroacridindecoy45,67,"-10,1",0,1,60,6,,"0,086","0,375",,"0,090","4,3712","0,086",,
Bis-tacrinedecoy17,68,"-10,1",0,1,61,6,,"0,087","0,375",,"0,088","4,3069","0,087",,
4iodo-2tetrahydroacridindecoy37,69,"-10,1",0,1,62,6,,"0,088","0,375",,"0,087","4,2445","0,088",,
