Ligand,Ordem,Affinity,Positivos,Decoys,Tdecoys,Tpositivos,FracDocada,FracPositivos,,Conc(P),Fator Enriquecimento,FracDocada,positivos/total = ,"0,0204865557"
Bis-tacrinedecoy36,45,"-11,1",0,1,45,0,"0,0576","0,0000",,"0,000","0,0000","0,058",,
Bis-tacrinedecoy37,46,"-11,1",0,1,46,0,"0,0589","0,0000",,"0,000","0,0000","0,059",,
3iodo-2tetrahydroacridindecoy35,47,"-11,0",0,1,47,0,"0,0602","0,0000",,"0,000","0,0000","0,060",,
2iodo-4tetrahydroacridindecoy20,48,"-11,0",0,1,48,0,"0,0615","0,0000",,"0,000","0,0000","0,061",,
4iodo-2tetrahydroacridindecoy13,49,"-11,0",0,1,49,0,"0,0627","0,0000",,"0,000","0,0000","0,063",,
4iodo-4tetrahydroacridindecoy4,50,"-11,0",0,1,50,0,"0,0640","0,0000",,"0,000","0,0000","0,064",,
4iodo-3tetrahydroacridindecoy38,51,"-11,0",0,1,51,0,"0,0653","0,0000",,"0,000","0,0000","0,065",,
4iodo-3tetrahydroacridindecoy13,52,"-10,9",0,1,52,0,"0,0666","0,0000",,"0,000","0,0000","0,067",,
2iodo-4tetrahydroacridindecoy29,53,"-10,9",0,1,53,0,"0,0679","0,0000",,"0,000","0,0000","0,068",,
Bis-tacrinedecoy46,54,"-10,9",0,1,54,0,"0,0691","0,0000",,"0,000","0,0000","0,069",,
4iodo-3tetrahydroacridindecoy28,55,"-10,9",0,1,55,0,"0,0704","0,0000",,"0,000","0,0000","0,070",,
2iodo-3tetrahydroacridindecoy49,56,"-10,9",0,1,56,0,"0,0717","0,0000",,"0,000","0,0000","0,072",,
4iodo-4tetrahydroacridindecoy28,57,"-10,9",0,1,57,0,"0,0730","0,0000",,"0,000","0,0000","0,073",,
4iodo-3tetrahydroacridindecoy14,58,"-10,8",0,1,58,0,"0,0743","0,0000",,"0,000","0,0000","0,074",,
4iodo-4tetrahydroacridindecoy24,59,"-10,8",0,1,59,0,"0,0755","0,0000",,"0,000","0,0000","0,076",,
4iodo-4tetrahydroacridindecoy45,60,"-10,8",0,1,60,0,"0,0768","0,0000",,"0,000","0,0000","0,077",,
Bis-tacrine,73,"-10,8",1,0,60,1,"0,0935","0,0625",,"0,014","0,6686","0,093",,
2iodo-3tetrahydroacridindecoy16,61,"-10,8",0,1,61,1,"0,0781","0,0625",,"0,016","0,8002","0,078",,
Bis-tacrinedecoy15,62,"-10,8",0,1,62,1,"0,0794","0,0625",,"0,016","0,7873","0,079",,
Bis-tacrinedecoy5,63,"-10,8",0,1,63,1,"0,0807","0,0625",,"0,016","0,7748","0,081",,
Bis-tacrinedecoy45,64,"-10,8",0,1,64,1,"0,0819","0,0625",,"0,016","0,7627","0,082",,
