,21070,12593,12666,12974,15338,15339,15849,17294,17296,17456,17474,17498,20403,20497,20499,20500,20509,20525,20550,21148,21266,3206,5651,6315,ZINC100199761,ZINC100232131,ZINC142456176,(E)-Nerolidol,ZINC1676040,ZINC175245225,ZINC1846611,ZINC1849759,ZINC2018831,ZINC2600024,ZINC33841709,ZINC3861087,ZINC4098262,ZINC59206468,ZINC59586886,ZINC59778978,ZINC6071066,ZINC62237753,ZINC64634151,ZINC8220462,ZINC8234296,ZINC968471
17474,0.10420650095602295,0.27280064568200163,0.27169505271695055,0.2531969309462916,0.29827315541601257,0.3141321044546851,0.151183970856102,0.4803646563814867,0.4806201550387597,0.43694614860259035,1.0,0.35699226985242444,0.1271186440677966,0.1624007060900265,0.15412186379928317,0.16258741258741258,0.152753108348135,0.1296641791044776,0.10953729933899906,0.09528392685274302,0.09652509652509653,0.09619238476953908,0.1909328683522232,0.12876712328767123,0.06595538312318137,0.12806539509536785,0.0696999031945789,0.06407766990291262,0.10664172123479888,0.17251461988304093,0.07729468599033816,0.11753554502369669,0.1130841121495327,0.019289340101522844,0.1347449470644851,0.0506454816285998,0.1118421052631579,0.08893093661305582,0.03992015968063872,0.0906515580736544,0.17562380038387715,0.07692307692307693,0.11059907834101383,0.11813186813186813,0.07973102785782901,0.1434223541048467
17498,0.08765315739868049,0.22075910147172734,0.2081727062451812,0.17991967871485945,0.2335820895522388,0.24908692476260044,0.12566844919786097,0.37818419333768777,0.3761467889908257,0.3762246897452645,0.35699226985242444,1.0,0.10128913443830571,0.13644214162348878,0.12697022767075306,0.13881748071979436,0.13771929824561405,0.10805860805860806,0.096171802054155,0.07772511848341232,0.07582938388625593,0.05910852713178295,0.15677966101694915,0.10663082437275985,0.06086956521739131,0.11400359066427289,0.05950095969289827,0.07038123167155426,0.09647495361781076,0.09571558796718323,0.05994291151284491,0.0917516218721038,0.10083256244218317,0.015182186234817813,0.09683426443202979,0.04240631163708087,0.09242144177449169,0.08388312912346843,0.04308617234468938,0.08662900188323917,0.14929577464788732,0.07088846880907372,0.097538742023701,0.10407239819004525,0.0634469696969697,0.13346418056918546
20403,0.6600790513833992,0.21676300578034682,0.21251819505094613,0.19318181818181818,0.1782051282051282,0.17590361445783131,0.2388758782201405,0.11688311688311688,0.11419249592169657,0.1099434114793856,0.1271186440677966,0.10128913443830571,1.0,0.2679738562091503,0.289044289044289,0.2192622950819672,0.40049751243781095,0.75,0.76,0.6055776892430279,0.273015873015873,0.1360759493670886,0.3145833333333333,0.12331838565022421,0.4330708661417323,0.2868020304568528,0.22112211221122113,0.12111801242236025,0.3254437869822485,0.16417910447761194,0.1111111111111111,0.3413897280966767,0.29914529914529914,0.07171314741035857,0.17771883289124668,0.12937062937062938,0.391304347826087,0.24550898203592814,0.037162162162162164,0.2804878048780488,0.07456140350877193,0.2054380664652568,0.13801452784503632,0.14893617021276595,0.12753623188405797,0.0525
20497,0.2949640287769784,0.4043795620437956,0.4181547619047619,0.4155629139072848,0.36530880420499345,0.35141800246609123,0.5093023255813953,0.17888100866824272,0.17842981760507534,0.16096423017107309,0.1624007060900265,0.13644214162348878,0.2679738562091503,1.0,0.8337874659400545,0.651270207852194,0.41995841995842,0.27078891257995735,0.2698412698412698,0.2977667493796526,0.14505494505494507,0.26052631578947366,0.47544204322200395,0.310126582278481,0.16626506024096385,0.4153498871331828,0.2928759894459103,0.24935064935064935,0.3853658536585366,0.21237113402061855,0.3333333333333333,0.4649350649350649,0.4883720930232558,0.051351351351351354,0.3116279069767442,0.2443820224719101,0.42,0.3333333333333333,0.1478494623655914,0.3170731707317073,0.13805970149253732,0.35509138381201044,0.3563218390804598,0.36179775280898874,0.27889447236180903,0.1154639175257732
20499,0.3447368421052632,0.37813884785819796,0.3936651583710407,0.38823529411764707,0.33069828722002637,0.322180916976456,0.4657210401891253,0.1633624107850912,0.16188197767145135,0.1536643026004728,0.15412186379928317,0.12697022767075306,0.289044289044289,0.8337874659400545,1.0,0.5697940503432495,0.41865509761388287,0.3094688221709007,0.3046683046683047,0.34972677595628415,0.16037735849056603,0.2676056338028169,0.45271629778672035,0.30973451327433627,0.18798955613577023,0.37471264367816093,0.34011627906976744,0.24517906336088155,0.45675675675675675,0.20995670995670995,0.3305084745762712,0.4381720430107527,0.4244791666666667,0.05571847507331378,0.31773399014778325,0.26605504587155965,0.505586592178771,0.39285714285714285,0.14367816091954022,0.3482849604221636,0.1392156862745098,0.396011396011396,0.34532374100719426,0.32339449541284404,0.25326370757180156,0.11546840958605664
20500,0.2234513274336283,0.3869132290184922,0.37606837606837606,0.4370860927152318,0.3952254641909814,0.3793532338308458,0.4422657952069717,0.1872541306058222,0.18310970797158643,0.1811764705882353,0.16258741258741258,0.13881748071979436,0.2192622950819672,0.651270207852194,0.5697940503432495,1.0,0.33589251439539347,0.2155688622754491,0.2088607594936709,0.22654462242562928,0.11949685534591195,0.23929471032745592,0.3992673992673993,0.3319327731092437,0.12698412698412698,0.30612244897959184,0.2091346153846154,0.27979274611398963,0.28824833702882485,0.19721115537848605,0.31876606683804626,0.37708830548926014,0.4090909090909091,0.046875,0.33874709976798145,0.2391304347826087,0.3115124153498871,0.23370786516853934,0.17333333333333334,0.2288888888888889,0.13272727272727272,0.2372093023255814,0.31947483588621445,0.3634361233480176,0.22535211267605634,0.1191919191919192
20509,0.5101449275362319,0.3006896551724138,0.2972222222222222,0.2724505327245053,0.275,0.25524475524475526,0.45496535796766746,0.16025137470542028,0.1606012658227848,0.15336463223787167,0.152753108348135,0.13771929824561405,0.40049751243781095,0.41995841995842,0.41865509761388287,0.33589251439539347,1.0,0.44974874371859297,0.4088541666666667,0.5180722891566265,0.15137614678899083,0.1794871794871795,0.4817813765182186,0.20641282565130262,0.2204724409448819,0.35412026726057905,0.256,0.18766066838046272,0.4076923076923077,0.15415821501014199,0.21464646464646464,0.4082687338501292,0.3787128712871287,0.05413105413105413,0.21651785714285715,0.19436619718309858,0.464,0.3055555555555556,0.09090909090909091,0.29925187032418954,0.11090225563909774,0.3157894736842105,0.27455357142857145,0.2678185745140389,0.26288659793814434,0.08977035490605428
20525,0.757085020242915,0.21246458923512748,0.2134670487106017,0.20224719101123595,0.18702290076335878,0.17437722419928825,0.26573426573426573,0.11916264090177134,0.11560226354082458,0.11316211878009631,0.1296641791044776,0.10805860805860806,0.75,0.27078891257995735,0.3094688221709007,0.2155688622754491,0.44974874371859297,1.0,0.8232931726907631,0.6882591093117408,0.2888198757763975,0.1268882175226586,0.34375,0.11956521739130435,0.5180722891566265,0.3256997455470738,0.2113564668769716,0.11607142857142858,0.3469387755102041,0.15865384615384615,0.10985915492957747,0.3123209169054441,0.27371273712737126,0.06390977443609022,0.15949367088607594,0.11589403973509933,0.4171779141104294,0.27976190476190477,0.035483870967741936,0.3072289156626506,0.06779661016949153,0.22551928783382788,0.14691943127962084,0.15207373271889402,0.12256267409470752,0.04567307692307692
20550,0.7304347826086957,0.2005856515373353,0.1997041420118343,0.19031719532554256,0.17254901960784313,0.16199756394640683,0.2770780856423174,0.10440456769983687,0.10163934426229508,0.09748172217709179,0.10953729933899906,0.096171802054155,0.76,0.2698412698412698,0.3046683046683047,0.2088607594936709,0.4088541666666667,0.8232931726907631,1.0,0.6710526315789473,0.32517482517482516,0.13851351351351351,0.3443708609271523,0.1191588785046729,0.6056338028169014,0.3472222222222222,0.22535211267605634,0.12624584717607973,0.3741935483870968,0.16145833333333334,0.11180124223602485,0.3065015479876161,0.2653061224489796,0.07391304347826087,0.14986376021798364,0.13157894736842105,0.4589041095890411,0.304635761589404,0.03636363636363636,0.33557046979865773,0.0684931506849315,0.24422442244224424,0.15167095115681234,0.1513647642679901,0.12576687116564417,0.04450261780104712
21148,0.91005291005291,0.20461538461538462,0.19814241486068113,0.19223985890652556,0.15591397849462366,0.14625,0.30919220055710306,0.08933002481389578,0.08916666666666667,0.08505367464905036,0.09528392685274302,0.07772511848341232,0.6055776892430279,0.2977667493796526,0.34972677595628415,0.22654462242562928,0.5180722891566265,0.6882591093117408,0.6710526315789473,1.0,0.2127659574468085,0.1583011583011583,0.3883495145631068,0.1218274111675127,0.36160714285714285,0.2409972299168975,0.21484375,0.13533834586466165,0.4354243542435424,0.16857142857142857,0.12631578947368421,0.3898916967509025,0.3277591973244147,0.08247422680412371,0.18461538461538463,0.15283842794759825,0.531496062992126,0.2841726618705036,0.03765690376569038,0.2756183745583039,0.05896805896805897,0.2781954887218045,0.17094017094017094,0.16348773841961853,0.14982578397212543,0.040229885057471264
