,A,B,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D,E,F,G,H,I,J
ZINC5227717,0.431050335080557,0.264501097693815,0.485525503797671,0.485829212869065,0.481862652772724,0.509731841399534,0.49829323983935,0.512514089197347,0.342803957715614,0.450222616763298,0.333440837501949,0.357590462841514,0.549176843018778,0.015471604074683,0.428842818825082,0.211784303149228,0.49737135825819,0.631946383363104,0.627894063455527,0.091109272876434
ZINC49538669,0.669374700528762,0.583163093167712,0.672109257723273,0.724304380236245,0.661875899528165,0.631517919853079,0.673627339385158,0.606562194109251,0.675307963537512,0.611357438238916,0.65850451916733,0.711563245203758,0.648335518393376,0.5488915331519,0.618705861317609,0.525289394526287,0.694926415776507,0.548926468330391,0.468204320201418,0.534172674111059
ZINC490,0.246795062141024,0.558388012113026,0.258813145270494,0.306102482702849,0.45365326064637,0.292663272962887,0.36422978878608,0.537735490540961,0.356359834215534,0.483848659730897,0.497940993122863,0.327122028494642,0.405716763303989,0,0.312491681251434,0.566156399197578,0.322955873518539,0.470388915043167,0.401474700855173,0.006004180253423
ZINC409176,0.430611576155937,0.675191122998542,0.442770486399712,0.486081634815222,0.603606273793736,0.461434413221926,0.52967285750523,0.740018395012665,0.53178348829421,0.648721112701885,0.585875764547125,0.510523365024028,0.628232646803023,0.150000783330968,0.494235107714453,0.658276501601736,0.511658435392371,0.669035879233064,0.608007477494092,0.179424806830061
ZINC38139375,0.703604094597349,0.488191846005129,0.680385130641771,0.729630372252865,0.634932340828082,0.625530594861798,0.664267921911053,0.56825784892629,0.646878316917468,0.603842286069158,0.592770203999021,0.724837355987106,0.621596459594273,0.552574231017416,0.620365899945355,0.425895002564269,0.683276216198331,0.533272643500376,0.465749846313633,0.558735921941527
ZINC34117700,0.319415775345682,0.606093444260643,0.261715946649202,0.310007826187577,0.390776190241445,0.235445313995633,0.397053741625543,0.542443559696453,0.581829332227565,0.525204793360598,0.476518086621958,0.481486285471718,0.460150200360164,0.304852860587597,0.474355903152048,0.613177362112492,0.361591972041795,0.419432082506927,0.38235224717743,0.222947364811634
ZINC33943706,0.423672876955182,0.443879967718276,0.333286506087618,0.356066298342387,0.435296735091499,0.288865760081756,0.47627040578307,0.540405139720917,0.588679477204019,0.538439102920707,0.430856827707302,0.493909279932571,0.532756097411301,0.304311409615409,0.584695540961688,0.448552968047305,0.423058079667648,0.495596598958278,0.576913095593442,0.32501245035738
ZINC30730221,0.665027626985399,0.53930384294546,0.671283257267284,0.726459527926767,0.646908211026332,0.630550173017484,0.656543116835847,0.579022346753276,0.656487855198455,0.588804500542744,0.632187004108816,0.712823696850492,0.63278440678457,0.56229920751263,0.601515909326055,0.47985421874279,0.677457872053527,0.527754862921588,0.445397167760682,0.537801844145462
ZINC2510193,0.668426498736878,0.506630019614949,0.671677372266757,0.713684230979047,0.736293152758913,0.658342034451608,0.765677336907165,0.753607697383203,0.659481911320569,0.72552592398095,0.611335300113528,0.67648539146047,0.790229717754789,0.333118260761251,0.69420426420627,0.442761176647403,0.717407425790025,0.842345051332204,0.771180462587683,0.377469440950616
ZINC2242633,0.690006682903464,0.499150265202014,0.790402024880253,0.806937224485458,0.783760958155808,0.804404631251376,0.770533062204698,0.686429691720909,0.55431010640717,0.638928442481708,0.59904065212152,0.615989233247494,0.786569476594263,0.259113242391445,0.621560400268222,0.444497994795343,0.79624331509123,0.742743021133012,0.700378323801753,0.363358883462382
ZINC2169363,0.662101610358565,0.618251222251271,0.671842292099091,0.725696008342788,0.739099403105509,0.629033208823852,0.714318625583524,0.647833913316558,0.68692315882342,0.647861900535344,0.717413032648897,0.75986268492336,0.689785277329897,0.479206006083093,0.617705091045503,0.566206142094648,0.705441077220617,0.57725231816021,0.517377286454087,0.529403885624445
ZINC2123310,0.648149076514204,0.64337967135343,0.67079535902677,0.735946796082084,0.772431806580733,0.650225054758772,0.708915914475214,0.674327938788304,0.660095634825106,0.674266088933714,0.735647723230593,0.750062860222376,0.697342644125672,0.431803752981029,0.60675701721262,0.588184912233407,0.700888460985709,0.603449942542391,0.527666736907044,0.478965222071745
ZINC2083320,0.570442662369334,0.747198182135437,0.548713709742249,0.622158068805966,0.691511812685941,0.532675228597517,0.659267908294824,0.739142610643171,0.732548284708297,0.763110224381213,0.755515674199899,0.747063382158134,0.650668462898821,0.440570919532421,0.619810816388926,0.670083050415865,0.621181614470817,0.63591773968199,0.52202275485757,0.408403968452034
ZINC2035755,0.602070013046607,0.563681083888401,0.679703870842101,0.712015438637237,0.748877166423947,0.702082319786963,0.707034419071996,0.716755968405671,0.536240358455778,0.635064340722409,0.624459698425626,0.579420353401249,0.759167595442562,0.223546346942011,0.580982995155665,0.512183463373277,0.71354530047991,0.726808797827114,0.657715295922267,0.292655483832272
